artist,song_name,lyric
NewJeans,Ditto,"['Woo woo woo woo ooh', 'Woo woo woo woo', 'Stay in the middle', 'Like you a little', 'Don’t want no riddle', '말해줘 say it back', 'Oh say it ditto', '아침은 너무 멀어', 'So say it ditto', '훌쩍 커버렸어', '함께한 기억처럼', '널 보는 내 마음은', '어느새 여름 지나 가을', '기다렸지 all this time', 'Do you want somebody', 'Like I want somebody', '날 보고 웃었지만', 'Do you think about me now yeah', 'All the time yeah', 'All the time', 'I got no time to lose', '내 길었던 하루', '난 보고 싶어', 'Ra-ta-ta-ta 울린 심장 (Ra-ta-ta-ta)', 'I got nothing to lose', '널 좋아한다고', 'wooah wooah wooah', 'Ra-ta-ta-ta 울린 심장 (Ra-ta-ta-ta)', ""But I don't want to"", 'Stay in the middle', 'Like you a little', 'Don’t want no riddle', '말해줘 say it back', 'Oh say it ditto', '아침은 너무 멀어', 'So say it ditto', ""I don't want to"", 'Walk in this 미로', '다 아는 건 아니어도', '바라던 대로', '말해줘 Say it back', 'Oh say it ditto', 'I want you so, want you', 'So say it ditto', 'Not just anybody', '너를 상상했지', '항상 닿아있던', '처음 느낌 그대로 난', '기다렸지 all this time', 'I got nothing to lose', '널 좋아한다고', 'wooah wooah wooah', 'Ra-ta-ta-ta 울린 심장 (Ra-ta-ta-ta)', ""But I don't want to"", 'Stay in the middle', 'Like you a little', 'Don’t want no riddle', '말해줘 say it back', 'Oh say it ditto', '아침은 너무 멀어', 'So say it ditto', ""I don't want to"", 'Walk in this 미로', '다 아는 건 아니어도', '바라던 대로', '말해줘 Say it back', 'Oh say it ditto', 'I want you so, want you', 'So say it ditto', 'Woo woo woo woo ooh', 'Woo woo woo woo']"
NewJeans,Hype Boy,"['(1,2,3,4)', 'Baby, got me looking so crazy', '빠져버리는 daydream', 'Got me feeling you', '너도 말해줄래', '', '누가 내게 뭐라든', '남들과는 달라 넌', 'Maybe you could be the one', '', '날 믿어봐 한번', 'I’m not looking for just fun', 'Maybe I could be the one', '', 'Oh baby', '예민하대 나 lately', '너 없이는 매일 매일이 yeah', '재미없어 어쩌지', '', 'I just want you', 'Call my phone right now', 'I just wanna hear you’re mine', '', '‘Cause I know what you like boy', 'You’re my chemical hype boy', '내 지난날들은', '눈 뜨면 잊는 꿈', 'Hype boy 너만 원해', 'Hype boy 내가 전해', '', 'And we can go high', '말해봐 yeah', '느껴봐 mm mm', 'Take him to the sky', 'You know I hype you boy', '', '눈을 감아', '말해봐 yeah', '느껴봐 mm mm', 'Take him to the sky', 'You know I hype you boy', '', '잠에 들려고 잠에 들려 해도', '네 생각에 또 새벽 세 시 uh-oh', '알려줄 거야 they can’t have you no more', '봐봐 여기 내 이름 써있다고', '누가 내게 뭐라든', '남들과는 달라 넌', 'Maybe you could be the one', '', '날 믿어봐 한번', 'I’m not looking for just fun', 'Maybe I could be the one', '', 'Oh baby', '예민하대 나 lately', '너 없이는 매일 매일이 yeah', '재미없어 어쩌지', '', 'I just want you', 'Call my phone right now', 'I just wanna hear you’re mine', '', '‘Cause I know what you like boy', 'You’re my chemical hype boy', '내 지난날들은', '눈 뜨면 잊는 꿈', 'Hype boy 너만 원해', 'Hype boy 내가 전해', '', 'And we can go high', '말해봐 yeah', '느껴봐 mm mm', 'Take him to the sky', 'You know I hype you boy', '', '눈을 감아', '말해봐 yeah', '느껴봐 mm mm', 'Take him to the sky', 'You know I hype you boy']"
IVE (아이브),I AM,"['다른 문을 열어 따라 갈 필요는 없어', '넌 너의 길로 난 나의 길로 음', '하루하루마다 색이 달라진 느낌', '밝게 빛이 나는 길을 찾아', 'I’m on my way 넌 그냥 믿으면 돼', 'I’m on my way 보이는 그대로야', '너는 누군가의 Dreams come true', '제일 좋은 어느 날의 데자뷰', '머물고픈 어딘가의 낯선 뷰', 'I’ll be far away', 'That’s my', 'Life is 아름다운 갤럭시', 'Be a writer, 장르로는 판타지', '내일 내게 열리는 건 big big 스테이지', 'So that is who I am', 'Look at me', 'Look at me', 'Look at me', 'now', '어제랑 또 다른 짜릿한 나', '두려운 모든 게 설레이게', 'I’m in sky high, OMG', '사소한 건 다 아득해져 와', 'Look at me now', 'Look at me now', 'I’m on fire', 'I’m on my way 넌 그냥 믿으면 돼', 'I’m on my way 보이는 그대로야', '너는 누군가의 Dreams come true', '제일 좋은 어느 날의 데자뷰', '머물고픈 어딘가의 낯선 뷰', 'I’ll be far away', 'That’s my', 'Life is 아름다운 갤럭시', 'Be a writer, 장르로는 판타지', '내일 내게 열리는 건 big big 스테이지', 'So that is who I am', '어느 깊은 밤 길을 잃어도', '차라리 날아올라 그럼 네가', '지나가는 대로 길이거든', '1, 2, 3', '1, 2, 3', '1, 2, 3', 'Fly up', 'I hope you’d be someone’s', 'dreams come true', '제일 좋은 어느 날의 데자뷰', '머물고픈 어딘가의 낯선 뷰', 'I’ll be far away', 'That’s my', 'Life is 아름다운 갤럭시', 'Be a writer, 장르로는 판타지', '내일 내게 열리는 건 big big 스테이지', 'So that is who I am']"
NewJeans,OMG,"['이 노래는 it’s about you baby', 'Only you', 'You you you', 'You you you you', '내가 힘들 때', '울 것 같을 때', '기운도 이젠', '나지 않을 때', 'It’s you 날 걱정하네', 'It’s you 날 웃게하네', '말 안 해도 돼', 'Boy what do you say', '(They keep on asking me, ""who is he?"")', '멀리든 언제든지 달려와', '(They keep on asking me, ""who is he?"")', '바쁜 척도 없이 넌 나타나', '(They keep on asking me, ""who is he?"")', '이게 말이 되니 난 물어봐', '(They keep on asking me, ""who is he?"")', '너는 말야', 'He’s the one that’s living in my system baby', 'Oh my oh my God', '예상했어 나', 'I was really hoping', 'That he will come through', 'Oh my oh my God', '단 너뿐이야', 'Asking all the time about what I should do', 'No I can never let him go', '너만 생각나 24', '난 행운아야 정말로 I know, I know', '널 알기 전까지는 나', '의미 없었어 전부 다', '내 맘이 끝이 없는 걸 I know, I know', 'I’m going crazy right?', '어디서든', '몇 번이든', 'There ain’t nothing else that I would hold on to', 'I hear his voice', 'Through all the noise', '잠시라도 내 손 놓지 마 no, no', '걱정 없잖아', '‘Cause I got someone', '혼자라도 괜찮아', '‘Cause I love someone', '(They keep on asking me, ""who is he?"")', '멀리든 언제든지 달려와', '(They keep on asking me, ""who is he?"")', '바쁜 척도 없이 넌 나타나', '(They keep on asking me, ""who is he?"")', '이게 말이 되니 난 물어봐', '(They keep on asking me, ""who is he?"")', '너는 말야', 'He’s the one that’s living in my system baby', 'Oh my oh my God', '예상했어 나', 'I was really hoping', 'That he will come through', 'Oh my oh my God', '단 너뿐이야', 'Asking all the time about what I should do', 'No I can never let him go', '너만 생각나 24', '난 행운아야 정말로 I know, I know', '널 알기 전까지는 나', '의미 없었어 전부 다', '내 맘이 끝이 없는 걸 I know, I know', '너와 나', 'My heart is glowing', 'It’s glowing up', '너랑만 있으면 무서울 게 없어', '가득 메워진, 다 메워진 (붉어진)', 'My heart is glowing, it’d be glowing', '‘Cause he', 'Oh my oh my God', '예상했어 나', 'I was really hoping', 'That he will come through', 'Oh my oh my God', '단 너뿐이야', 'Asking all the time about what I should do', 'No I can never let him go', 'He’s right there for me 24', '난 행운아야 정말로 I know, I know', '널 알기 전까지는 나', '의미 없었어 전부 다', '어떡해', 'My heart is glowing, it’s glowing', 'My heart is glowing up', 'So I can’t sleep at night']"
윤하 (YOUNHA),사건의 지평선,"['생각이 많은 건 말이야', '당연히 해야 할 일이야', '나에겐 우리가 지금 1순위야', '안전한 유리병을 핑계로', '바람을 가둬 둔 것 같지만', '', '기억나? 그날의 우리가', '잡았던 그 손엔 말이야', '설레임보다 커다란 믿음이 담겨서', '난 함박웃음을 지었지만', '울음이 날 것도 같았어', '소중한 건 언제나 두려움이니까', '', '문을 열면 들리던 목소리', '너로 인해 변해있던 따뜻한 공기', '여전히 자신 없지만 안녕히', '', '저기, 사라진 별의 자리', '아스라이 하얀 빛', '한동안은 꺼내 볼 수 있을 거야', '아낌없이 반짝인 시간은', '조금씩 옅어져 가더라도', '너와 내 맘에 살아 숨 쉴 테니', '', '', '여긴, 서로의 끝이 아닌', '새로운 길 모퉁이', '익숙함에 진심을 속이지 말자', '하나 둘 추억이 떠오르면', '많이 많이 그리워할 거야', '고마웠어요 그래도 이제는', '사건의 지평선 너머로', '', '솔직히 두렵기도 하지만', '노력은 우리에게 정답이 아니라서', '마지막 선물은 산뜻한 안녕', '', '저기, 사라진 별의 자리', '아스라이 하얀 빛', '한동안은 꺼내 볼 수 있을 거야', '아낌없이 반짝인 시간은', '조금씩 옅어져 가더라도', '너와 내 맘에 살아 숨 쉴 테니', '', '여긴, 서로의 끝이 아닌', '새로운 길 모퉁이', '익숙함에 진심을 속이지 말자', '하나 둘 추억이 떠오르면', '많이 많이 그리워할 거야', '고마웠어요 그래도 이제는', '사건의 지평선 너머로', '', '저기, 사라진 별의 자리', '아스라이 하얀 빛', '한동안은 꺼내 볼 수 있을 거야', '아낌없이 반짝인 시간은', '조금씩 옅어져 가더라도', '너와 내 맘에 살아 숨 쉴 테니', '', '여긴, 서로의 끝이 아닌', '새로운 길 모퉁이', '익숙함에 진심을 속이지 말자', '하나 둘 추억이 떠오르면', '많이 많이 그리워할 거야', '고마웠어요 그래도 이제는', '사건의 지평선 너머로', '', '사건의 지평선 너머로']"
IVE (아이브),Kitsch,"[""It's our time 우린 달라 특별한 게 좋아"", 'Oh What a good time', '난 잘 살아 내 걱정은 낭비야', '네가 보낸 DM을 읽고 나서 답이 없는 게', '내 답이야 (That’s my style)', 'OOTD 하나까지 완전 우리답지', 'My favorite things 그런 것 들엔 좀', '점수를 매기지 마', '난 생겨 먹은 대로 사는 애야, 뭘 더 바래', 'That’s my style (That’s my style)', '우리만의 자유로운 nineteen’s kitsch', '지금까지 한적 없는 custom fit', '올려 대는 나의 feed엔 like it', '홀린 듯이 눌러 모두 다 like it', '내가 추는 춤을 다들 따라 춰', '매일 너의 알고리즘에 난 떠', '걷잡을 수 없이 올라 미친 score', '그 누구도 예상 못할 nineteen’s kitsch', '우리만의 자유로운 nineteen’s kitsch', '우리-우리만의 자유로운', 'nineteen’s kitsch', '우리만의 자유로운 nineteen’s kitsch', '우리-우리만의 자유로운', 'nineteen’s kitsch', 'kitsch kitsch kitsch kitsch', 'kitsch kitsch kitsch', '우리만의 자유로운 nineteen’s kitsch', '우리-우리만의 자유로운', '달콤한 말, 뒤에 숨긴 너의 의도대로', '따라가진 않을 거야 난 똑똑하니까', '난 절대 끌리지 않는 것에 끌려가지 않아', 'That’s my style (That’s my style)', '우리만의 자유로운 nineteen’s kitsch', '지금까지 한적 없는 custom fit', '올려 대는 나의 feed엔 like it', '홀린 듯이 눌러 모두 다 like it', '내가 추는 춤을 다들 따라 춰', '매일 너의 알고리즘에 난 떠', '걷잡을 수 없이 올라 미친 score', '그 누구도 예상 못할 nineteen’s kitsch', '우리만의 자유로운 nineteen’s kitsch', '우리-우리만의 자유로운', 'nineteen’s kitsch', '우리만의 자유로운 nineteen’s kitsch', '우리-우리만의 자유로운', 'nineteen’s kitsch', 'kitsch kitsch kitsch kitsch', 'kitsch kitsch kitsch', '우리만의 자유로운 nineteen’s kitsch', '우리-우리만의 자유로운', 'Yah 모두 주목해', '내가 좋아하는 것만 하면 뭐 어때 huh', 'This ain’t ur life', '쓸데없는 생각 따위 Go away', '답답한 이 세상 앞엔 멋대로 할래', 'YOLO! Say no! 너의 길을 가 now', '잔소리는 Quite down', '이제 그만 Peace out', '우리만의 자유로운 nineteen’s kitsch', '지금까지 한적 없는 custom fit', '올려 대는 나의 feed엔 like it', '홀린 듯이 눌러 모두 다 like it', '내가 추는 춤을 다들 따라 춰', '매일 너의 알고리즘에 난 떠', '걷잡을 수 없이 올라 미친 score', '그 누구도 예상 못할 nineteen’s kitsch', '우리만의 자유로운 nineteen’s kitsch', '우리-우리만의 자유로운', 'nineteen’s kitsch', '우리만의 자유로운 nineteen’s kitsch', '우리-우리만의 자유로운', 'nineteen’s kitsch', 'kitsch kitsch kitsch kitsch', 'kitsch kitsch kitsch', '우리만의 자유로운 nineteen’s kitsch', '우리-우리만의 자유로운', 'nineteen’s kitsch']"
(여자)아이들,퀸카 (Queencard),"['Hey you', '뭘 보니? 내가 좀 Sexy Sexy 반했니', 'Ye you', '뭐 하니? 너도 내 Kiss Kiss 원하니', '월 화 수 목 금 토 일 미모가 쉬지를 않네', '머리부터 발끝까지 눈부셔 빛이 나네', 'Oh 저기 언니야들 내 Fashion을 따라 하네', '아름다운 여자의 하루는 다 아름답네', '이 Party에 준비된 Birthday cake', '태어나서 감사해 Every day', 'I don’t need them', '그래 내가 봐도 난', '퀸카 I’m hot', 'My boob and booty is hot', 'Spotlight 날 봐', 'I’m a star star star', '퀸카 I’m the top', 'I’m twerking on the runway', 'I am a 퀸카', 'You wanna be the 퀸카', 'I’m a 퀸카', 'I’m a 퀸카', 'I’m a I’m a I’m a 퀸카', 'I’m a 퀸카 (Take a photo)', 'I’m a 퀸카', 'I’m a 퀸카', 'I’m a I’m a I’m a 퀸카', 'I’m a 퀸카', 'Look so cool look so sexy', 'like Kim Kardashian', 'Look so cute look so pretty like Ariana', 'I wanna with you 뽀뽀', 'I wanna with you 포옹', '자꾸 예뻐져 거울 속 너어~', '이 Party에 준비된 (Blue) Champagne', '태어난 걸 축하해 Every day', 'I don’t need them', '그래 내가 봐도 난', '퀸카 I’m hot', 'My boob and booty is hot', 'Spotlight 날 봐', 'I’m a star star star', '퀸카 I’m the top', 'I’m twerking on the runway', 'I am a 퀸카', 'You wanna be the 퀸카', 'I’m a 퀸카', 'I’m a 퀸카', 'I’m a I’m a I’m a 퀸카', 'I’m a 퀸카 (Take a photo)', 'I’m a 퀸카', 'I’m a 퀸카', 'I’m a I’m a I’m a 퀸카', 'I’m a 퀸카', '아무거나 걸친 Girl 퀸카카카', '마르거나 살찐 Girl 퀸카카카', '자신감 넘치는 Girl 퀸카카카', 'I am a 퀸카', 'You wanna be the 퀸카']"
NewJeans,Attention,"['You and me', '내 맘이 보이지', '한참을 쳐다봐', '가까이 다가가', 'You see', 'You see, ey ey ey ey', '', 'One, two, three', '용기가 생겼지', '이미 아는 네 눈치', '고개를 돌려 천천히', '여기', 'You see', '여기 보이니', '', 'Looking for attention 너야겠어', '확실하게 나로 만들겠어', 'Stop, eyyy', 'Drop the question', 'Drop the, drop the question', 'Want attention', 'Wanna want attention', '', 'You give me butterflies you know', '내 맘은 온통 paradise', '꿈에서 깨워주지 마', '', 'You got me looking for attention', 'You got me looking for attention', '가끔은 정말', '헷갈리지만', '분명한 건', 'Got me looking for attention', '', '널 우연히 마주친 척할래', '못 본 척 지나갈래', 'You’re so fine', 'Gotta gotta get to know ya', '나와 나와 걸어가 줘', '', '지금 돌아서면', 'I need ya, need ya, need ya', 'To look at me back', 'Hey 다 들켰었나', '널 보면 하트가 튀어나와', '', '난 사탕을 찾는 baby (baby)', '내 맘은 설레이지', 'Eyyy, drop the question', 'Drop the, drop the question', 'Want attention', 'Wanna want attention', '', 'You give me butterflies you know', '내 맘은 온통 paradise', '꿈에서 깨워주지 마', '', 'You got me looking for attention', 'You got me looking for attention', '가끔은 정말', '헷갈리지만', '분명한 건', 'Got me looking for attention', '', 'You got me looking for attention', 'You got me looking for attention', '가끔은 정말', '헷갈리지만', '분명한 건', 'Got me looking for attention', '', 'A T T E N T I on', 'Attention is what I want', 'A T T E N T I on', 'Attention is what I want', 'A T T E N T I on', 'Attention is what I want', 'A T T E N T I on', 'You got me looking for attention']"
박재정,헤어지자 말해요,"['헤어지자고 말하려 오늘', '너에게 가다가 우리 추억 생각해 봤어', '처음 본 네 얼굴', '마주친 눈동자', '가까스로 본 너의 그 미소들', '손을 잡고 늘 걷던 거리에', '첫눈을 보다가 문득 고백했던 그 순간', '가보고 싶었던 식당', '난생처음 준비한 선물', '고맙다는 너의 그 눈물들이', '바뀔까 봐 두려워', '그대 먼저 헤어지자 말해요', '나는 사실 그대에게 좋은 사람이 아녜요', '그대 이제 날 떠난다 말해요', '잠시라도 이 행복을 느껴서 고마웠다고', '시간이 지나고 나면 나는', '어쩔 수 없을 걸 문득 너의 사진 보겠지', '새로 사귄 친구 함께', '웃음 띤 네 얼굴 보면', '말할 수 없을 묘한 감정들이', '힘들단 걸 알지만', '그대 먼저 헤어지자 말해요', '나는 사실 그대에게 좋은 사람이 아녜요', '그대 이제 날 떠난다 말해요', '잠시라도 이 행복을 느껴서 고마웠다고', '한 번은 널 볼 수 있을까', '이기적인 거 나도 잘 알아', '그땐 그럴 수밖에 없던', '어린 내게 한 번만 더 기회를 주길', '그댈 정말 사랑했다 말해요', '나는 사실 그대에게', '좋은 사람이 되고 싶었어', '영영 다신 못 본다 해도', '그댈 위한 이 노래가', '당신을 영원히 사랑할 테니']"
IVE (아이브),After LIKE,"['또 모르지 내 마음이', '저 날씨처럼 바뀔지', '날 나조차 다 알 수 없으니', '그게 뭐가 중요하니', '지금 네게 완전히', '푹 빠졌단 게 중요한 거지', '아마 꿈만 같겠지만', '분명 꿈이 아니야', '달리 설명할 수 없는', '이건 사랑일 거야', '방금 내가 말한 감정', '감히 의심하지 마', '그냥 좋다는 게 아냐', ""What's after 'LIKE'?"", 'You and I', ""It's more than 'LIKE'"", 'L 다음 또 O 다음 난 yeah', 'You and I', ""It's more than 'LIKE'"", ""What's after 'LIKE'?"", ""What's after 'LIKE'?"", '조심해 두 심장에 핀', '새파란 이 불꽃이', '저 태양보다 뜨거울 테니', '난 저 위로 또 아래로', '내 그래프는 폭이 커', ""Yeah that's me"", '두 번 세 번 피곤하게', '자꾸 질문하지 마', '내 장점이 뭔지 알아?', '바로 솔직한 거야', '방금 내가 말한 감정', '감히 의심하지 마', '그냥 좋다는 게 아냐', ""What's after 'LIKE'?"", 'You and I', ""It's more than 'LIKE'"", 'L 다음 또 O 다음 난 yeah', 'You and I', ""It's more than 'LIKE'"", ""What's after 'LIKE'?"", ""What's after 'LIKE'?"", 'What after like 내 맘에 strike', '지금 느낀 짜릿함은 마치 tike', 'LO 다음에 I 그 다음에 VE', '여긴 너와 내 space', '아무도 막지 못해', '나를 보면 눈 깜빡할', '시간 조차도 아까울 걸', '드디어 만나 반가워', 'LOVE 사이 놓일 I', ""(What's after 'LIKE'?)"", 'You and I', ""It's more than 'LIKE'"", 'E 앞 또 V 앞 난 yeah', 'You and I', ""It's more than 'LIKE'"", ""What's after 'LIKE'?"", 'You and I', ""It's more than 'LIKE'"", 'L 다음 또 O 다음 난 yeah', 'You and I', ""It's more than 'LIKE'"", ""What's after 'LIKE'?"", ""What's after 'LIKE'?""]"
